Accession,Species,Bacteria or Archaea,Genome Length (nt),Coding Length (nt),Non-coding Length (nt),Total Genes,Coding Genes,Total COGs,COGs/coding genes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y,Z
NC_014391,Micromonospora aurantiaca ATCC 27029,Bacteria,7025559,6293728,731831,6274,6163,5024,0.815,2,2,271,50,414,100,407,205,239,203,528,213,236,5,161,217,204,723,415,274,41,112,0,0,2
NC_004578,Pseudomonas syringae pv. tomato str. DC3000,Bacteria,6538260,5578692,959568, , ,5022,#VALUE!,1,2,236,49,481,83,272,172,178,203,384,381,273,164,156,298,120,573,424,369,144,59,0,0,0
NC_007948,Polaromonas sp. JS666,Bacteria,5898676,5146679,751997,5569,5422,5013,0.925,2,7,309,39,615,77,287,189,233,197,410,251,243,63,179,217,173,603,504,239,126,49,0,0,1
NZ_CP011269,Mycobacterium fortuitum,Bacteria,6254616,5795417,459199,6017,5855,5007,0.855,3,0,378,38,366,87,233,191,463,173,533,164,151,12,137,253,424,747,413,164,31,46,0,0,0
NC_019678,Rivularia sp. PCC 7116,Bacteria,8728773,6853137,1875636,6676,6481,4987,0.769,2,3,259,57,281,77,215,223,107,194,300,238,417,49,209,226,141,774,538,426,125,125,0,0,1
NC_009507,Sphingomonas wittichii RW1,Bacteria,5915246,5345752,569494,5418,5317,4977,0.936,1,3,364,39,362,62,200,163,380,188,393,219,218,61,166,353,347,663,401,203,142,47,0,0,2
NC_008278,Frankia alni ACN14a,Bacteria,7497934,6255354,1242580,5991,5773,4959,0.859,1,1,377,46,369,101,236,205,401,171,499,202,195,3,146,187,295,810,300,299,36,76,0,0,3
NC_022571,Clostridium saccharobutylicum DSM 13864,Bacteria,5107814,4007906,1099908,4370,4134,4938,1.194,0,1,258,49,374,88,541,181,125,200,520,193,255,163,126,175,78,685,379,381,62,104,0,0,0
NC_012491,Brevibacillus brevis NBRC 100599,Bacteria,6296436,5497615,798821,5931,5688,4931,0.867,0,2,218,43,567,113,299,188,147,220,530,173,231,88,124,265,123,631,443,337,66,119,0,1,3
NZ_CP016559,Streptomyces clavuligerus,Bacteria,7590758,6404981,1185777,6121,5981,4929,0.824,1,1,267,41,441,108,338,221,244,189,558,183,236,3,147,214,238,683,335,316,41,117,0,0,7
NZ_CP006704,Comamonas testosteroni TK102,Bacteria,6062703,5203077,859626,5479,5243,4923,0.939,2,2,322,35,390,87,192,178,295,195,445,175,241,104,159,311,165,616,505,247,209,47,0,0,1
NZ_CP006905,Clostridium baratii str. Sullivan,Bacteria,3338630,2889067,449563,3196,3068,4920,1.604,0,1,275,50,353,96,606,166,107,184,564,208,231,145,125,204,65,615,379,397,58,91,0,0,0
NC_020516,Azoarcus sp. KH32C,Bacteria,5818755,5271398,547357,5211,5094,4919,0.966,1,3,428,39,425,72,223,201,280,180,320,153,253,161,212,198,164,560,395,473,116,61,0,0,1
NC_018022,Mycobacterium chubuense NBB4,Bacteria,6342624,5755770,586854,5903,5740,4865,0.848,2,0,376,36,346,81,248,180,469,159,447,224,171,8,148,242,386,679,356,219,30,58,0,0,0
NC_014107,Enterobacter cloacae subsp. cloacae ATCC 13047,Bacteria,5598796,4919640,679156, , ,4859,#VALUE!,2,0,245,40,401,81,425,172,121,204,410,313,282,189,159,269,97,519,420,256,186,68,0,0,0
NZ_CP012640,Massilia sp. WG5,Bacteria,6267305,5548222,719083,5563,5331,4852,0.910,1,3,325,37,355,80,268,172,178,186,339,170,312,188,193,244,134,606,395,420,176,70,0,0,0
NC_019382,Bordetella bronchiseptica 253,Bacteria,5264383,4729302,535081, , ,4820,#VALUE!,1,5,357,32,588,61,251,161,302,193,451,126,231,86,135,287,185,524,520,156,130,38,0,0,0
NC_020829,Pseudomonas denitrificans ATCC 13867,Bacteria,5696307,4966453,729854,5086,4970,4812,0.968,2,6,292,40,478,96,183,180,240,194,432,157,258,134,177,246,143,565,458,299,152,78,1,0,1
NC_019738,Microcoleus sp. PCC 7113,Bacteria,7966510,6601886,1364624,6679,6360,4805,0.756,1,4,223,68,250,73,208,189,97,189,286,265,313,68,205,231,100,695,606,541,98,93,0,0,2
NC_015434,Verrucosispora maris AB-18-032,Bacteria,6732271,5910772,821499,5945,5760,4797,0.833,2,2,266,53,401,91,401,189,207,194,532,195,225,3,145,212,209,686,371,266,34,112,0,0,1
NZ_CP013068,Pannonibacter phragmitetus,Bacteria,5669701,4880463,789238,5150,4997,4792,0.959,0,3,282,39,507,90,382,174,165,195,413,168,215,112,167,357,131,560,428,231,134,38,0,0,1
NZ_CP009048,Pseudomonas alkylphenolica,Bacteria,5764622,5139985,624637,5367,5151,4790,0.930,1,3,289,41,492,90,188,184,193,194,421,213,250,143,168,284,129,562,414,339,127,65,0,0,0
NC_007005,Pseudomonas syringae pv. syringae B728a,Bacteria,6093698,5345538,748160, , ,4783,#VALUE!,1,2,234,48,482,88,276,174,162,209,367,190,289,168,158,293,135,545,408,356,146,51,0,0,1
NC_015510,Haliscomenobacter hydrossis DSM 1100,Bacteria,8771651,7785463,986188,6903,6750,4778,0.708,0,2,241,42,327,82,292,146,142,181,376,205,346,26,187,292,101,717,534,296,68,175,0,0,0
NZ_CP011371,Polyangium brachysporum,Bacteria,6476147,5619917,856230,5516,5320,4774,0.897,2,3,243,32,339,79,274,164,207,182,367,201,268,172,195,215,168,570,466,405,164,56,0,0,2
NC_016584,Desulfosporosinus orientis DSM 765,Bacteria,5863081,4972912,890169,5428,5244,4764,0.908,0,1,472,47,464,89,196,246,243,171,439,178,242,108,130,192,115,575,341,365,59,90,0,0,1
NC_010170,Bordetella petrii,Bacteria,5287950,4720063,567887,5062,4914,4751,0.967,1,4,343,47,503,55,257,165,276,172,465,295,231,82,166,238,170,483,466,149,140,43,0,0,0
NC_017047,Rahnella aquatilis HX2,Bacteria,5656799,4957178,699621,5235,4999,4748,0.950,1,0,236,41,518,107,464,168,129,197,429,180,272,114,153,303,84,554,409,194,133,62,0,0,0
NZ_CP009450,Pluralibacter gergoviae,Bacteria,5489680,4869307,620373,5209,4929,4737,0.961,1,1,292,39,477,102,381,197,127,196,405,213,247,147,159,282,121,541,430,178,142,58,1,0,0
NZ_CP007557,Citrobacter freundii CFNIH1,Bacteria,5371331,4798812,572519,5419,5092,4726,0.928,1,0,317,42,424,95,416,190,113,198,402,261,254,149,170,264,90,507,397,221,158,57,0,0,0
NC_008027,Pseudomonas entomophila L48,Bacteria,5888780,5197720,691060,5138,5003,4722,0.944,3,2,258,42,500,97,202,180,181,194,401,142,276,139,173,268,154,556,437,318,137,62,0,0,0
NC_014210,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,Bacteria,6543312,5487586,1055726,5490,5353,4720,0.882,1,1,270,46,371,102,371,207,199,187,605,180,196,3,121,222,174,673,345,293,39,109,0,0,5
NZ_CP012201,Massilia sp. NR 4-1,Bacteria,6361416,5733409,628007,5368,5191,4710,0.907,2,3,234,41,338,86,185,173,175,189,390,140,274,240,184,247,165,525,387,424,218,89,0,0,1
NZ_CP015506,Bacillus oceanisediminis 2691,Bacteria,5848607,4892035,956572,5839,5604,4704,0.839,0,1,233,49,483,114,283,178,159,208,398,241,215,65,150,277,117,634,487,253,66,93,0,0,0
NZ_LN868938,Nocardia farcinica,Bacteria,6459780,5688128,771652,6013,5842,4701,0.805,2,2,300,30,348,81,200,193,351,181,600,202,153,4,125,223,323,666,400,196,27,94,0,0,0
NC_015663,Enterobacter aerogenes KCTC 2190,Bacteria,5280350,4607841,672509, , ,4695,#VALUE!,1,2,298,35,452,96,458,181,136,201,431,167,250,116,151,296,110,522,406,195,130,61,0,0,0
NC_014501,Cyanothece sp. PCC 7822,Bacteria,7841948,6633013,1208935,7040,6672,4680,0.701,3,3,246,71,270,76,210,191,103,193,243,343,287,70,188,234,139,658,574,393,100,85,0,0,0
NZ_HG326223,Serratia marcescens subsp. marcescens Db11,Bacteria,5113802,4498237,615565,4849,4682,4676,0.999,1,1,260,41,482,97,402,176,139,199,457,141,257,118,154,297,123,546,411,192,128,54,0,0,0
NC_021741,Serratia liquefaciens ATCC 27592,Bacteria,5282719,4623620,659099,4993,4791,4676,0.976,2,1,278,38,497,108,450,178,130,194,460,151,267,91,151,293,120,528,381,194,108,56,0,0,0
NZ_CP013055,Bacillus thuringiensis,Bacteria,6227942,5176553,1051389,6373,6101,4642,0.761,1,1,200,78,407,121,262,170,130,221,425,364,252,59,119,237,88,622,505,199,72,107,1,0,1
NZ_CP009920,Bacillus megaterium NBRC 15308 = ATCC 14581,Bacteria,5746640,4687644,1058996,5790,5532,4637,0.838,1,2,260,47,472,93,344,185,174,203,451,204,229,57,127,227,104,620,468,238,59,72,0,0,0
NC_014304,Erwinia billingiae Eb661,Bacteria,5372268,4715776,656492,4988,4810,4627,0.962,1,0,239,38,509,105,427,164,131,193,419,175,249,104,136,289,91,566,398,231,104,58,0,0,0
NZ_CP011341,Rhodococcus aetherivorans,Bacteria,5922748,5326445,596303,5326,5009,4622,0.923,2,1,352,37,350,85,269,193,435,172,466,149,141,3,122,232,317,676,352,180,27,61,0,0,0
NC_019729,Oscillatoria nigro-viridis PCC 7112,Bacteria,8272254,6680004,1592250,7028,6447,4617,0.716,1,3,199,72,237,77,184,180,70,179,254,403,283,49,203,203,127,625,648,462,78,79,0,0,1
NC_008771,Verminephrobacter eiseniae EF01-2,Bacteria,5597943,4874515,723428,4918,4691,4601,0.981,1,2,286,31,747,66,361,153,309,173,298,204,158,101,117,251,183,477,377,123,126,56,0,0,1
NC_019695,Chroococcidiopsis thermalis PCC 7203,Bacteria,6689401,5624665,1064736,5963,5662,4597,0.812,1,2,229,47,298,77,254,214,105,177,275,200,384,71,170,275,134,657,466,371,81,109,0,0,0
NZ_CP009264,Vibrio coralliilyticus,Bacteria,5732794,5043747,689047,5243,4974,4593,0.923,1,1,217,44,399,94,272,172,110,208,425,148,240,180,171,210,100,591,393,388,149,79,0,0,1
NC_002127,Escherichia coli O157:H7 str. Sakai,Bacteria,5594477,4800156,794321, , ,4585,#VALUE!,2,0,288,39,376,94,374,160,112,190,331,314,269,146,155,256,75,523,439,199,184,57,2,0,0
NZ_CP010855,Marinovum algicola DG 898,Bacteria,5252390,4733405,518985,5005,4888,4577,0.936,0,4,288,46,501,90,454,195,232,174,348,178,215,74,156,235,165,556,403,118,110,34,0,0,1
NC_006370,Photobacterium profundum SS9,Bacteria,6403280,5267062,1136218,5799,5376,4576,0.851,1,0,282,50,376,104,304,164,121,202,362,351,250,166,176,207,82,489,384,265,159,81,0,0,0
NZ_HG322949,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Bacteria,5949001,5230818,718183,5184,5011,4576,0.913,2,3,237,44,336,81,226,148,169,184,392,173,272,207,175,248,137,522,418,333,200,68,0,0,1
NZ_CP007044,Chania multitudinisentens RB-25,Bacteria,5488183,4713990,774193,4986,4771,4573,0.958,1,1,239,36,393,98,409,161,123,188,398,210,235,237,151,229,94,479,385,203,247,56,0,0,0
NZ_CP011930,Herbaspirillum seropedicae,Bacteria,5509723,4838843,670880,4797,4697,4569,0.973,1,3,260,38,446,73,303,169,189,181,404,110,264,167,134,252,139,519,374,370,117,56,0,0,0
NC_014814,Mycobacterium gilvum Spyr1,Bacteria,5783292,5311605,471687,5466,5292,4564,0.862,1,0,304,34,332,79,200,155,413,157,402,327,161,9,129,221,372,641,351,192,35,48,0,0,1
NZ_CP009896,Pimelobacter simplex,Bacteria,5637360,5243575,393785,5506,5348,4562,0.853,1,0,279,33,433,94,212,172,326,182,514,153,176,37,105,238,262,648,328,220,61,85,1,0,2
NC_018658,Escherichia coli O104:H4 str. 2011C-3493,Bacteria,5437407,4702662,734745, , ,4557,#VALUE!,3,2,294,42,380,94,404,160,107,192,353,327,260,133,153,246,76,493,408,208,165,56,1,0,0
NC_008686,Paracoccus denitrificans PD1222,Bacteria,5236194,4682414,553780,5096,4938,4556,0.923,0,1,308,39,560,100,292,194,185,176,374,190,196,31,156,335,156,535,440,141,86,61,0,0,0
NZ_CP013252,Clostridium butyricum,Bacteria,4627894,3804498,823396,4105,3893,4555,1.170,1,2,339,53,409,92,246,166,96,195,490,185,210,151,126,193,65,538,376,420,57,145,0,0,0
NZ_CP012076,Bordetella hinzii,Bacteria,4912977,4501379,411598,4606,4483,4551,1.015,1,6,292,33,612,66,229,159,236,188,428,139,250,79,142,283,147,482,448,169,112,49,0,0,1
NZ_CP005973,Photobacterium gaetbulicola Gung47,Bacteria,5909413,5036574,872839,5211,4979,4550,0.914,1,1,297,39,414,111,347,171,137,206,373,206,266,145,176,222,84,530,369,258,119,77,0,0,1
NZ_CP011058,Paenibacillus beijingensis,Bacteria,5749967,4859264,890703,5213,4930,4550,0.923,0,0,212,37,488,116,518,169,115,190,459,168,199,51,111,256,113,621,349,263,42,72,0,0,1
NZ_CP009429,Sphingopyxis macrogoltabida,Bacteria,5748623,5150040,598583,5518,5352,4546,0.849,0,0,237,32,348,58,154,134,357,179,380,300,200,62,169,269,243,600,442,171,150,59,1,0,1
NZ_CP016594,Gordonia terrae,Bacteria,5701501,5172271,529230,5056,4939,4541,0.919,1,3,344,26,366,92,242,178,415,172,423,179,156,5,107,259,322,657,330,167,29,68,0,0,0
NC_009667,Ochrobactrum anthropi ATCC 49188,Bacteria,5205777,4556818,648959,4994,4860,4527,0.931,0,2,223,41,557,81,364,163,140,194,373,265,239,37,165,285,98,556,425,159,103,56,0,0,1
NC_009937,Azorhizobium caulinodans ORS 571,Bacteria,5369772,4706618,663154,4819,4705,4517,0.960,0,2,315,28,610,73,230,156,185,191,325,135,218,84,158,338,149,537,413,251,59,60,0,0,0
NC_013037,Dyadobacter fermentans DSM 18053,Bacteria,6967790,6310027,657763,5799,5697,4513,0.792,0,1,192,33,271,76,355,174,156,176,417,182,366,17,120,336,111,600,406,350,65,108,0,0,1
NC_003295,Ralstonia solanacearum GMI1000,Bacteria,5810922,5026174,784748,5012,4849,4506,0.929,2,2,274,36,404,85,242,171,187,178,382,240,249,145,166,182,140,514,409,245,200,50,2,0,1
NC_022654,Mycobacterium kansasii ATCC 12478,Bacteria,6577228,5787259,789969,5696,5454,4493,0.824,4,0,343,43,266,79,210,210,392,155,332,202,173,122,153,192,351,646,350,181,31,58,0,0,0
NZ_CP013234,Collimonas pratensis,Bacteria,5730025,4908195,821830,5092,4915,4487,0.913,2,3,236,39,453,83,306,151,174,184,423,189,286,69,162,246,120,536,413,199,156,50,6,0,1
NC_015138,Acidovorax avenae subsp. avenae ATCC 19860,Bacteria,5482170,4904079,578091,4749,4632,4487,0.969,2,3,241,34,436,81,246,159,207,186,362,165,230,150,155,225,153,529,416,338,118,50,0,0,1
NC_011750,Escherichia coli IAI39,Bacteria,5132068,4436385,695683, , ,4480,#VALUE!,2,0,290,34,369,100,425,163,100,187,327,399,254,124,144,241,78,489,372,181,147,52,2,0,0
NC_016906,Gordonia polyisoprenivorans VH2,Bacteria,5844299,5261030,583269,5200,5049,4478,0.887,1,1,293,30,365,99,259,186,343,166,471,208,149,6,119,241,276,631,347,174,30,81,0,0,2
NC_009783,Vibrio campbellii ATCC BAA-1116,Bacteria,6058377,5147325,911052,5596,5195,4476,0.862,1,1,227,46,336,84,235,170,108,200,321,552,242,162,167,200,77,470,372,262,162,80,1,0,0
NC_017955,Modestobacter marinus,Bacteria,5575517,4980136,595381,5293,5110,4473,0.875,1,1,278,30,388,97,318,175,235,171,405,176,203,52,122,209,156,679,362,274,67,74,0,0,0
NZ_CP009553,Pandoraea pnomenusa,Bacteria,5389285,4643758,745527,4821,4624,4470,0.967,2,2,308,34,514,83,252,165,212,185,436,148,246,102,152,253,138,519,337,201,136,41,3,0,1
NC_010678,Ralstonia pickettii 12J,Bacteria,5325729,4697782,627947,4959,4830,4465,0.924,1,2,284,42,373,85,251,154,215,177,368,189,273,126,196,240,129,495,381,247,183,53,0,0,1
NZ_CP009354,Vibrio tubiashii ATCC 19109,Bacteria,5540337,4866983,673354,5171,4966,4465,0.899,1,1,207,46,388,106,279,162,126,211,397,175,247,150,184,188,88,508,395,355,165,84,0,0,2
NC_016887,Nocardia cyriacigeorgica GUH-2,Bacteria,6194645,5396912,797733,5558,5405,4462,0.826,1,3,275,31,308,79,204,190,319,173,579,182,149,8,130,186,296,646,376,204,29,94,0,0,0
NZ_CP015583,Roseomonas gilardii,Bacteria,5412463,4745405,667058,4921,4751,4460,0.939,0,4,286,38,615,89,327,188,187,179,291,203,254,50,144,280,151,556,372,154,48,43,0,0,1
NZ_CP010429,Spirosoma radiotolerans,Bacteria,7029352,6107962,921390,5691,5580,4459,0.799,0,1,221,35,295,79,352,157,163,184,374,147,407,16,153,219,119,641,389,309,58,139,0,0,1
NC_016946,Mycobacterium intracellulare ATCC 13950,Bacteria,5402402,4918414,483988,4985,4911,4445,0.905,1,2,356,29,246,72,190,178,532,158,367,157,158,47,107,211,457,665,310,130,29,43,0,0,0
NC_006348,Burkholderia mallei ATCC 23344,Bacteria,5835527,4710147,1125380, , ,4438,#VALUE!,2,5,274,33,412,84,264,174,198,184,360,352,275,106,144,224,157,468,347,194,126,49,6,0,0
NZ_CP014475,Mycobacterium phlei,Bacteria,5349645,4949423,400222,5106,4950,4436,0.896,2,1,332,32,366,79,245,156,431,161,412,185,128,6,124,221,359,656,317,150,29,43,0,0,1
NC_005296,Rhodopseudomonas palustris CGA009,Bacteria,5467640,4761352,706288,4955,4851,4426,0.912,0,1,297,34,418,71,198,176,266,187,272,144,232,100,168,292,171,524,429,281,98,65,0,0,2
NC_015422,Alicycliphilus denitrificans K601,Bacteria,5070751,4599127,471624,4792,4660,4422,0.949,1,2,318,39,393,73,155,163,309,181,352,277,218,100,166,200,137,471,455,219,143,50,0,0,0
NC_020908,Octadecabacter arcticus 238,Bacteria,5478249,4733618,744631,5737,5284,4419,0.836,0,3,228,37,445,76,284,156,148,165,243,970,153,45,134,160,117,479,378,106,57,35,0,0,0
NC_003272,Nostoc sp. PCC 7120,Bacteria,7211789,5916872,1294917,6032,5803,4414,0.761,1,2,220,64,244,71,176,190,81,181,255,277,299,36,188,293,120,597,527,367,100,124,0,0,1
NZ_CP009922,Streptomyces xiamenensis,Bacteria,5961401,5221884,739517,5340,5091,4410,0.866,1,1,242,38,360,99,391,189,175,184,547,155,193,4,129,204,165,632,290,263,42,106,0,0,0
NZ_CP009692,Bacillus mycoides,Bacteria,5637053,4641038,996015,5686,5421,4407,0.813,0,1,203,51,410,123,277,157,141,220,428,200,259,38,108,226,82,597,455,225,52,150,1,0,3
NC_019682,Calothrix sp. PCC 7507,Bacteria,7023215,5579529,1443686,5988,5783,4406,0.762,1,2,231,64,248,69,186,183,85,185,233,235,336,52,179,252,102,658,588,334,82,99,0,0,2
NC_014622,Paenibacillus polymyxa SC2,Bacteria,6238510,5250778,987732,5747,5474,4405,0.805,0,0,155,49,326,99,471,171,113,212,466,206,225,80,129,224,82,558,385,286,65,100,1,0,2
NZ_CP009288,Paenibacillus durus,Bacteria,6053498,5169866,883632,5382,5140,4403,0.857,1,1,216,45,327,104,358,186,111,192,467,222,226,68,127,255,101,601,384,245,63,101,0,0,2
NZ_CP011409,Herbaspirillum hiltneri N3,Bacteria,4965474,4349793,615681,4489,4369,4401,1.007,1,3,244,31,467,67,315,150,181,181,401,124,250,156,145,270,123,489,318,326,110,49,0,0,0
NC_009720,Xanthobacter autotrophicus Py2,Bacteria,5625098,4860804,764294,5154,4960,4396,0.886,0,1,325,32,453,77,184,161,217,176,334,247,220,21,185,290,153,509,441,177,135,58,0,0,0
NZ_CP015775,Ochrobactrum pseudogrignonense,Bacteria,4992805,4322645,670160,4697,4556,4388,0.963,0,2,240,31,580,85,370,166,153,177,382,148,205,38,143,313,98,551,402,178,78,46,1,0,1
NZ_CP014070,Citrobacter amalonaticus,Bacteria,5083867,4539599,544268,5000,4616,4377,0.948,1,0,277,32,410,94,451,166,124,183,369,199,255,122,159,241,96,431,359,201,155,52,0,0,0
NC_015693,Runella slithyformis DSM 19594,Bacteria,6919729,6082968,836761,5841,5718,4375,0.765,0,1,209,41,318,81,353,147,162,170,335,193,365,17,133,240,104,647,388,275,71,124,0,0,1
NC_009439,Pseudomonas mendocina ymp,Bacteria,5072807,4506848,565959,4658,4547,4373,0.962,2,2,256,41,403,81,185,169,184,189,339,179,221,166,163,244,106,525,409,327,130,52,0,0,0
NC_014618,Enterobacter lignolyticus SCF1,Bacteria,4814049,4304583,509466,4607,4420,4373,0.989,1,0,276,36,428,95,446,177,110,191,376,165,247,143,144,242,87,450,326,223,157,51,2,0,0
NZ_CP007142,Gynuella sunshinyii YC6258,Bacteria,6475959,5617140,858819,5360,5231,4370,0.835,3,2,229,39,374,86,354,190,132,191,315,152,215,167,172,192,166,514,397,307,117,55,0,0,1
NZ_CP011479,Hoeflea sp. IMCC20628,Bacteria,5119813,4501485,618328,4813,4689,4367,0.931,0,4,268,32,531,81,346,156,208,175,287,207,196,53,159,211,175,557,416,186,66,52,0,0,1
NC_023036,Mycobacterium neoaurum VKM Ac-1815D,Bacteria,5421267,4991702,429565,5059,4948,4366,0.882,1,2,296,30,365,85,252,182,348,163,434,154,161,8,115,234,308,631,336,181,30,50,0,0,0
NZ_CP014474,Serratia rubidaea,Bacteria,4922834,4297742,625092,4620,4466,4363,0.977,1,1,256,34,433,106,350,180,141,200,393,142,241,108,145,243,125,533,372,173,135,51,0,0,0
NZ_CP007215,Kosakonia sacchari SP1,Bacteria,4902027,4333502,568525,4732,4516,4358,0.965,1,0,244,41,412,85,379,179,114,195,389,169,245,132,142,256,83,506,383,239,111,52,0,0,1
NC_011830,Desulfitobacterium hafniense DCB-2,Bacteria,5279134,4574587,704547,4933,4785,4349,0.909,1,1,437,66,366,78,181,194,102,181,415,198,204,104,111,263,80,482,362,337,62,122,0,0,2
NZ_CP015235,Rhodococcus fascians D188,Bacteria,5502110,5001735,500375,5138,5000,4349,0.870,1,1,283,38,406,97,306,188,248,179,449,170,179,8,130,247,178,608,321,214,44,54,0,0,0
NZ_HG917972,Mycobacterium marinum E11,Bacteria,6450522,5751355,699167,5370,5237,4344,0.829,2,1,335,33,279,78,207,207,385,168,336,161,156,101,136,185,384,617,329,162,30,52,0,0,0
NC_019693,Oscillatoria acuminata PCC 6304,Bacteria,7804270,6306273,1497997,6131,5836,4343,0.744,1,2,192,68,207,69,175,185,71,179,214,252,276,66,199,197,103,683,580,453,85,86,0,0,0
NC_015635,Microlunatus phosphovorus NM-1,Bacteria,5683123,5045332,637791,5165,5028,4337,0.863,1,2,235,34,371,83,384,187,146,177,489,244,186,6,117,201,122,659,360,203,36,91,0,0,3
NZ_CP010799,Ralstonia mannitolilytica,Bacteria,5072301,4504369,567932,4724,4592,4332,0.943,2,3,255,36,389,78,236,158,188,175,387,230,236,125,176,252,117,472,369,234,170,41,2,0,1
NC_010721,Methylobacterium populi BJ001,Bacteria,5848997,4977311,871686,5401,5259,4328,0.823,0,3,269,42,302,85,194,177,147,180,273,220,267,112,184,263,97,547,487,340,85,53,0,0,1
NZ_CP009286,Paenibacillus stellifer,Bacteria,5658798,4782681,876117,5167,4899,4323,0.882,0,0,168,46,306,104,386,156,108,198,478,221,218,83,122,252,74,582,362,286,62,110,0,0,1
NC_018025,Desulfomonile tiedjei DSM 6799,Bacteria,6527027,5417037,1109990,5612,5486,4322,0.788,1,4,443,45,323,75,200,197,189,156,239,234,271,56,147,220,100,573,333,375,73,68,0,0,0
NC_012560,Azotobacter vinelandii DJ,Bacteria,5365318,4574434,790884,4793,4647,4316,0.929,1,1,342,48,298,80,278,176,174,175,318,239,215,87,172,298,150,485,399,211,116,52,0,0,1
NZ_CP006569,Sodalis praecaptivus,Bacteria,5159425,4249396,910029,4623,4425,4311,0.974,1,0,208,34,481,87,442,168,129,180,411,132,242,112,136,272,98,499,333,171,130,45,0,0,0
NC_015556,Pseudomonas fulva 12-X,Bacteria,4920769,4339752,581017,4494,4387,4310,0.982,2,2,249,41,422,72,228,178,164,187,333,147,204,176,148,245,101,503,389,346,129,43,0,0,1
NZ_CP009451,Cedecea neteri,Bacteria,4876443,4335059,541384,4622,4416,4304,0.975,1,0,236,34,429,97,382,166,110,200,396,172,246,145,147,279,75,459,337,204,143,45,1,0,0
